Sp,Binary,Ensemble.2,EnsembleBinary
Rhinolophus arcuatus,0,0.213094944929126,TRUE
Rhinolophus darlingi,0,0.21868076130855607,TRUE
Hipposideros vittatus,0,0.43508808184147363,TRUE
Hipposideros gigas,1,0.4316091075293201,TRUE
Rhinolophus beddomei,0,0.2208705642567233,TRUE
Pipistrellus rusticus,0,0.21279792323958419,TRUE
Pteropus intermedius,0,0.20981675576167713,TRUE
Murina tubinaris,0,0.19901541511746446,TRUE
Rhinolophus sedulus,0,0.21838754040726077,TRUE
Haplonycteris fischeri,0,0.21579128698565994,TRUE
Taphozous longimanus,0,0.20604319724027353,TRUE
Hipposideros speoris,0,0.4282614779010045,TRUE
Neoromicia somalicus,1,0.20260949232582237,TRUE
Coleura afra,0,0.21823906329907442,TRUE
Eonycteris robusta,0,0.2232959745507414,TRUE
Rousettus celebensis,0,0.22902021422302418,TRUE
Hipposideros commersoni,1,0.330283444270193,TRUE
Scotozous dormeri,0,0.2179080683105162,TRUE
Myotis longipes,0,0.4493905197468264,TRUE
Rhinolophus shortridgei,0,0.23506793597655262,TRUE
Hipposideros lankadiva,0,0.4450297278614473,TRUE
Hypsugo cadornae,0,0.21048664566831463,TRUE
Myotis pequinius,1,0.2260530896969562,TRUE
Arielulus circumdatus,0,0.2168323455696995,TRUE
Ptenochirus minor,0,0.23767382594526432,TRUE
Carollia perspicillata,1,0.3540728867823077,TRUE
Hipposideros fulvus,0,0.2378421436826334,TRUE
Myotis macrodactylus,0,0.45252239912690906,TRUE
Pteropus dasymallus,0,0.23229995615714435,TRUE
Sturnira lilium,0,0.3719368366692959,TRUE
Chaerephon major,0,0.23777838027763498,TRUE
Pteropus rufus,1,0.45373085568602783,TRUE
Neoromicia tenuipinnis,0,0.22807878566262052,TRUE
Nyctalus montanus,0,0.2321277469771394,TRUE
Pteropus conspicillatus,1,0.4185856179893253,TRUE
Aethalops alecto,0,0.24284115532305312,TRUE
Myotis horsfieldii,1,0.45820113385420563,TRUE
Saccolaimus saccolaimus,0,0.44906017144791754,TRUE
Taphozous nudiventris,0,0.23713640071952458,TRUE
Casinycteris argynnis,0,0.2471478205705066,TRUE
Miniopterus pusillus,0,0.47049551966577485,TRUE
Miniopterus magnater,0,0.466249331507508,TRUE
Otopteropus cartilagonodus,0,0.2464834438343085,TRUE
Scotophilus nux,0,0.4861943505910235,FALSE
Miniopterus inflatus,0,0.4847742170460518,FALSE
Mops midas,0,0.24640923426936162,TRUE
Pteronotus parnellii,1,0.38867119456895854,TRUE
Scotoecus hirundo,0,0.2435006737268995,TRUE
Neoromicia guineensis,0,0.24436331701258768,TRUE
Taphozous theobaldi,0,0.4777705296965242,TRUE
Epomophorus grandis,0,0.2570265710658659,TRUE
Hipposideros lekaguli,1,0.49445955637466105,FALSE
Hypsugo alaschanicus,0,0.24706835914363687,TRUE
Rhinolophus creaghi,1,0.40441658366192823,TRUE
Pteropus pumilus,0,0.24946924804976528,TRUE
Lavia frons,0,0.25375366319827664,TRUE
Myotis muricola,0,0.22826636626721042,TRUE
Eptesicus pachyotis,0,0.2412379511619653,TRUE
Hipposideros abae,0,0.49861958101284437,FALSE
Myotis fimbriatus,0,0.24854371688742538,TRUE
Myotis annectans,0,0.23707172103722832,TRUE
Kerivoula hardwickii,0,0.22997709504362285,TRUE
Myotis sicarius,0,0.249163179109058,TRUE
Kerivoula picta,0,0.23242053354484005,TRUE
Rhinolophus inops,0,0.26632388262936463,TRUE
Myotis csorbai,0,0.2455013103321484,TRUE
Myotis punicus,1,0.495778389872864,FALSE
Hipposideros rotalis,0,0.24586774863437127,TRUE
Hipposideros turpis,0,0.2598354620764685,TRUE
Epomophorus minor,0,0.26445735409937515,TRUE
Rhinolophus monoceros,1,0.4341138688879937,TRUE
Pteropus leucopterus,0,0.2549481677707976,TRUE
Dyacopterus brooksi,0,0.26452889529614326,TRUE
Pipistrellus inexspectatus,0,0.5128789690704778,FALSE
Cardioderma cor,0,0.5081043476235302,FALSE
Myotis siligorensis,0,0.2370387241345322,TRUE
Myotis mystacinus,0,0.43980776522709564,TRUE
Philetor brachypterus,0,0.4889555187171113,FALSE
Rhinolophus swinnyi,0,0.27549460235721995,TRUE
Eptesicus nasutus,0,0.254777191489342,TRUE
Rhinolophus subrufus,0,0.27617744197332234,TRUE
Hipposideros grandis,0,0.27334470589475285,TRUE
Hipposideros cyclops,0,0.263863969615036,TRUE
Chaerephon nigeriae,0,0.2621608345786426,TRUE
Myotis ikonnikovi,0,0.2636731497325408,TRUE
Micropteropus intermedius,0,0.27714012252946174,TRUE
Carollia brevicauda,0,0.4472609584874824,TRUE
Eptesicus fuscus,0,0.42376597224915313,TRUE
Acerodon jubatus,0,0.26242395434934296,TRUE
Thoopterus nigrescens,0,0.27914814243259384,TRUE
Pteropus poliocephalus,0,0.47741015239033513,TRUE
Murina hilgendorfi,0,0.27250129940263723,TRUE
Rhinopoma muscatellum,0,0.2836093925603183,TRUE
Pipistrellus subflavus,0,0.4651129215350273,TRUE
Scotoecus albofuscus,0,0.26100501021843514,TRUE
Myotis tricolor,0,0.26875817721255724,TRUE
Murina fusca,0,0.26737946308188554,TRUE
Dobsonia moluccensis,1,0.5238911684105859,FALSE
Nyctimene rabori,0,0.28509259407456633,TRUE
Molossus molossus,0,0.45742607415769415,TRUE
Rhinolophus capensis,0,0.5644984870186227,FALSE
Lasiurus cinereus,0,0.5145252450401541,FALSE
Tadarida brasiliensis,0,0.45264152052434087,TRUE
Latidens salimalii,0,0.29100485476937915,TRUE
Chaerephon bivittatus,0,0.28424781078948086,TRUE
Myotis nigricans,0,0.4406897822321414,TRUE
Scotoecus pallidus,0,0.28396664678819683,TRUE
Aethalops aequalis,0,0.290818066094372,TRUE
Tadarida latouchei,0,0.2894566564537598,TRUE
Harpiocephalus mordax,0,0.2668485186573453,TRUE
Pteronotus davyi,1,0.46308757082443563,TRUE
Nyctimene cephalotes,0,0.29910997108444437,TRUE
Glauconycteris variegata,1,0.26578700027070096,TRUE
Myotis schaubi,0,0.28565545891427774,TRUE
Megaerops kusnotoi,1,0.3005427850627247,TRUE
Uroderma bilobatum,0,0.47971982441262223,TRUE
Neoromicia helios,0,0.2869317439966286,TRUE
Pipistrellus deserti,1,0.2964023696569981,TRUE
Harpiocephalus harpia,0,0.2706196228649328,TRUE
Dobsonia minor,0,0.30596856029926994,TRUE
Glossophaga soricina,0,0.46400410790037455,TRUE
Rhinolophus megaphyllus,0,0.5845455702302751,FALSE
Eumops glaucinus,1,0.525013455015533,FALSE
Plerotes anchietae,0,0.30612530795942516,TRUE
Myotis velifer,0,0.5037903547254013,FALSE
Tadarida insignis,0,0.3058270512947936,TRUE
Rhinolophus virgo,0,0.31271073984015674,TRUE
Myotis bombinus,0,0.30088028354303126,TRUE
Lasiurus ega,0,0.5539672850234447,FALSE
Chaerephon leucogaster,0,0.2860389070953524,TRUE
Rhinolophus imaizumii,0,0.31665988259659933,TRUE
Acerodon mackloti,0,0.3121837218047669,TRUE
Mormoops megalophylla,0,0.5016141462252682,FALSE
Paracoelops megalotis,0,0.31120868292515963,TRUE
Desmodus rotundus,1,0.4811417430011056,TRUE
Rhinolophus deckenii,0,0.32410672244789357,TRUE
Nyctinomops laticaudatus,1,0.5461591036680735,FALSE
Nycteris macrotis,1,0.3057514470277697,TRUE
Chalinolobus gouldii,0,0.5894861696619362,FALSE
