"Sp","Betacov","R.Alb","R.Car3","R.Gut1","Rank","PropRank","InSample"
"Ptenochirus jagori",1,0.312435765673176,0.148745519713262,0.242831541218638,199.833333333333,0.433600727434666,1
"Eptesicus platyops",0,NA,0.194444444444444,0.673835125448029,484.5,0.434139784946237,0
"Eptesicus japonensis",0,0.501027749229188,0.494623655913978,0.307347670250896,460.833333333333,0.434333025131354,0
"Pteropus brunneus",0,NA,0.622759856630824,0.246415770609319,485,0.434587813620072,0
"Myotis riparius",0,0.242548818088386,0.754480286738351,0.690860215053763,302.5,0.435569204990841,1
"Eptesicus nilssonii",1,0.204522096608428,0.110215053763441,0.131720430107527,165.916666666667,0.435622359642066,1
"Murina ussuriensis",0,0.551901336073998,0.412186379928315,0.345878136200717,461,0.436655284067677,0
"Myotis hosonoi",0,NA,0.512544802867383,0.367383512544803,491,0.439964157706093,0
"Myotis scotti",0,0.23021582733813,0.422043010752688,0.668458781362007,480.333333333333,0.440239206484275,0
"Aselliscus stoliczkanus",1,0.21634121274409,0.0976702508960574,0.133512544802867,167,0.440393273489021,1
"Pteropus melanopogon",0,0.383864337101747,0.46594982078853,0.480286738351254,476.5,0.443366965413844,0
"Nyctophilus bifax",0,0.52672147995889,0.390681003584229,0.415770609318996,470.833333333333,0.444391030954039,0
"Eidolon dupreanum",1,0.289311408016444,0.17921146953405,0.230286738351254,175.785714285714,0.445553864103701,1
"Hypsugo ariel",0,NA,0.305555555555556,0.586021505376344,497.5,0.44578853046595,0
"Hypsugo macrotis",0,0.335560123329907,0.444444444444444,0.558243727598566,481.833333333333,0.446082765124306,0
"Epomophorus wahlbergi",0,0.0626927029804728,0.0546594982078853,0.0743727598566308,111.214285714286,0.446118189035673,1
"Myotis yesoensis",0,NA,0.489247311827957,0.403225806451613,498,0.446236559139785,0
"Myotis velifer",0,0.389516957862282,0.669354838709677,0.698924731182796,310.928571428571,0.446680808365453,1
"Hipposideros galeritus",1,0.316546762589928,0.0824372759856631,0.0994623655913978,173.583333333333,0.446911835506008,1
"Glauconycteris humeralis",0,0.218910585817061,0.509856630824373,0.620967741935484,491.666666666667,0.449911652858972,0
"Myotis annamiticus",0,NA,0.346774193548387,0.554659498207885,503,0.450716845878136,0
"Pteropus rodricensis",0,NA,0.424731182795699,0.478494623655914,504,0.451612903225806,0
"Myotis frater",0,0.16032887975334,0.847222222222222,0.351254480286738,497.833333333333,0.452935194087434,0
"Miniopterus fraterculus",0,0.644912641315519,0.353046594982079,0.364695340501792,476.166666666667,0.454218192266463,0
"Eptesicus floweri",0,0.333504624871531,0.395161290322581,0.637096774193548,492.166666666667,0.455254229795887,0
"Kerivoula cuprosa",0,0.231243576567318,0.421146953405018,0.71415770609319,497.333333333333,0.455516078688508,0
"Rhinolophus guineensis",0,0.2672147995889,0.277777777777778,0.826164874551971,497.333333333333,0.457052483972883,0
"Centurio senex",0,0.695272353545735,0.423835125448029,0.253584229390681,477.5,0.457563902794815,0
"Miniopterus tristis",0,0.826824254881809,0.343189964157706,0.206989247311828,472.833333333333,0.459001155450448,0
"Plecotus taivanus",0,0.507708119218911,0.567204301075269,0.302867383512545,488.333333333333,0.459259934602241,0
"Rhinolophus rufus",0,0.479445015416238,0.448924731182796,0.455197132616487,491.833333333333,0.461188959738507,0
"Hypsugo imbricatus",0,NA,0.419354838709677,0.503584229390681,515,0.461469534050179,0
"Nyctimene aello",0,0.572970195272354,0.381720430107527,0.43010752688172,487.833333333333,0.4615993840872,0
