"Sp","Betacov","R.Alb","R.Car3","R.Dal1","R.Far1","R.Gut1","R.Po2","R.Po3","R.Stock1","P.Alb","P.Car3","P.Dal1","P.Far1","P.Gut1","P.Po2","P.Po3","P.Stock1","Rank","PropRank","InSample"
"Pteropus giganteus",1,0.0971223021582734,0.0134408602150538,0.208661417322835,0.110236220472441,0.0241935483870968,0.151202749140893,0.0809399477806789,0.119601328903654,0.227105263157895,0.37521118250819,0.757682850809307,0.361108975575104,0.950337109766604,0.6,0.302414121311759,0.421815252898872,47.625,0.100674796797616,1
"Hipposideros armiger",1,0.119218910585817,0.0421146953405018,0.248031496062992,0.118110236220472,0.00806451612903226,0.151202749140893,0.0809399477806789,0.0787850023730422,0.224736842105263,0.316072146154004,0.719083436173111,0.348982451130045,0.963991698219747,0.6,0.302414121311759,0.469081319634966,48.1875,0.105808444204179,1
"Myotis daubentonii",1,0.0719424460431655,0.043010752688172,0.208661417322835,0.0905511811023622,0.0905017921146953,0.151202749140893,0.0809399477806789,0.149976269577598,0.233552631578947,0.315585668810419,0.757682850809307,0.367446505428076,0.883143749777149,0.6,0.302414121311759,0.378936517440278,61.3125,0.1108483194713,1
"Eptesicus serotinus",1,0.0123329907502569,0.0232974910394265,0.125984251968504,0.149606299212598,0.0116487455197133,0.36426116838488,0.130548302872063,0.0740389178927385,0.260789473684211,0.350052920527509,0.86845917099765,0.304416225217393,0.959542998797563,0.4,0.280436099333737,0.471591391811653,34.625,0.111464770955022,1
"Micropteropus pusillus",1,0.0770811921891059,0.00806451612903226,0.263779527559055,0.0275590551181102,0.118279569892473,0.36426116838488,0.0391644908616188,0.0616990982439487,0.232105263157895,0.393551153624399,0.658922583436718,0.427210154210875,0.85933149399865,0.4,0.324392143289781,0.490498532108565,51.9375,0.119986077297278,1
"Rhinolophus pusillus",1,0.0184994861253854,0.0851254480286738,0.196850393700787,0.161417322834646,0.21505376344086,0.36426116838488,0.130548302872063,0.0094921689606075,0.253552631578947,0.279028599050271,0.779886198539024,0.301071509494916,0.721380194265271,0.4,0.280436099333737,0.645411947425658,66.5,0.147656006793488,1
"Pipistrellus abramus",1,0.0544707091469681,0.0833333333333333,0.181102362204724,0.169291338582677,0.14247311827957,0.36426116838488,0.130548302872063,0.0939724727100142,0.237894736842105,0.279308659159514,0.810023229611239,0.298501751872392,0.832523910574838,0.4,0.280436099333737,0.450642390476397,71.375,0.152431600689279,1
"Rhinolophus affinis",1,0.00822199383350463,0.0564516129032258,0.568897637795276,0.137795275590551,0.021505376344086,0.36426116838488,0.130548302872063,0.0246796392975795,0.263026315789474,0.304102188822807,0.538508442944989,0.341709291654369,0.951650552380784,0.4,0.280436099333737,0.578184922237807,47.3125,0.164045125877646,1
"Murina leucogaster",0,0.10945529290853,0.0878136200716846,0.0354330708661417,0.15748031496063,0.0761648745519713,0.151202749140893,0.501305483028721,0.377788324632178,0.226184210526316,0.278372664386774,1.00536320455764,0.301804186374288,0.896168888842429,0.6,0.20351302241066,0.218782032166512,106.8125,0.187080466270094,1
"Rhinolophus sinicus",1,0.039054470709147,0.167562724014337,0.645669291338583,0.122047244094488,0.0958781362007168,0.36426116838488,0.130548302872063,0.0018984337921215,0.243684210526316,0.217908630032173,0.475437872823098,0.348178144189829,0.87876272029516,0.4,0.280436099333737,0.828497615822563,75.875,0.195864971425792,1
"Artibeus lituratus",1,0.809352517985611,0.3584229390681,0.0708661417322835,0.015748031496063,0.187275985663082,0.0412371134020619,0.00522193211488251,0.116753678215472,0.135263157894737,0.109960670424996,0.929475780580157,0.53537455043496,0.779811756074537,0.8,0.390326209223847,0.427503372048132,193.5625,0.200609792459695,1
"Artibeus jamaicensis",0,0.658787255909558,0.386200716845878,0.0393700787401575,0.0236220472440945,0.109318996415771,0.0412371134020619,0.159268929503916,0.270526815377314,0.153026315789474,0.101914539697133,0.975988331076352,0.460236698195409,0.866028284827,0.8,0.269447088344726,0.258082887226002,191.4375,0.211041494179844,1
"Pteropus alecto",1,0.515930113052415,0.264336917562724,0.122047244094488,0.047244094488189,0.443548387096774,0.151202749140893,0.0391644908616188,0.157570004746084,0.173026315789474,0.161926236181193,0.872133056755018,0.411214294102976,0.499959990597927,0.6,0.324392143289781,0.367892480563531,191.3125,0.217630500130398,1
"Scotophilus kuhlii",0,0.00513874614594039,0.823476702508961,0.0748031496062992,0.0393700787401575,0.267025089605735,0.0412371134020619,0.308093994778068,0.207878500237304,0.270131578947368,0.0212066597654425,0.911700349321196,0.418000708273254,0.648442011544761,0.8,0.247469066366704,0.302509769704373,191.875,0.220877921878066,1
"Hipposideros pomona",0,0.136690647482014,0.0779569892473118,0.484251968503937,0.208661417322835,0.0528673835125448,0.151202749140893,0.501305483028721,0.171808258186996,0.221578947368421,0.280900862402002,0.639598019729521,0.291298225104123,0.924238789414077,0.6,0.20351302241066,0.345964730682151,94.25,0.223093112053157,1
"Taphozous perforatus",1,0.597636176772867,0.00716845878136201,0.251968503937008,0.216535433070866,0.025089605734767,0.36426116838488,0.130548302872063,0.199335548172757,0.1675,0.39889614139135,0.709908497528851,0.284084425103339,0.946810974853267,0.4,0.280436099333737,0.309149439926528,128.0625,0.224067899715821,1
"Myotis ricketti",1,NA,0.111111111111111,0.568897637795276,0.204724409448819,0.116487455197133,0.36426116838488,0.130548302872063,0.178452776459421,NA,0.262450012109383,0.538508442944989,0.291669438563606,0.860488512053254,0.4,0.280436099333737,0.329527655283461,102.357142857143,0.2392118373241,1
"Rousettus amplexicaudatus",1,0.0226104830421377,0.0555555555555556,0.5,0.145669291338583,0.0510752688172043,1,0.130548302872063,0.015187470336972,0.250526315789474,0.305453041463309,0.605611013861592,0.324599767372316,0.926008672315695,0.2,0.280436099333737,0.610401315190508,61.4375,0.240080796495314,1
"Carollia perspicillata",1,0.841212744090442,0.408602150537634,0.031496062992126,0.0196850393700787,0.461469534050179,0.0412371134020619,0.0182767624020888,0.147128618889416,0.130526315789474,0.0972108841392833,1.00729724324751,0.497532452143077,0.485215010522262,0.8,0.368348187245825,0.383978566698441,245.875,0.246138503216753,1
"Chaerephon pumilus",0,0.221993833504625,0.0716845878136201,0.187007874015748,0.200787401574803,0.0725806451612903,0.36426116838488,0.501305483028721,0.374940673943996,0.201447368421053,0.287394695276778,0.804142467993825,0.292565650516427,0.898531955240131,0.4,0.20351302241066,0.219546648313088,127.4375,0.24932020842846,1
"Myotis nattereri",0,0.0688591983556012,0.21594982078853,0.161417322834646,0.255905511811024,0.0689964157706093,0.36426116838488,0.60313315926893,0.318936877076412,0.234210526315789,0.190295007834115,0.814703447715736,0.237750005773081,0.901730761105323,0.4,0.181535000432638,0.237664911240654,124.4375,0.257182434286329,1
