"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Alces alces",0,0.293732125834128,0.538028169014084,0.114084507042254,1,0.283210332103321,424.4,0.445811026798757,1
"Macaca sinica",0,0.718064823641563,0.257746478873239,0.356338028169014,0.313186813186813,0.586715867158672,770.5,0.44641040220586,1
"Ovis canadensis",0,0.618446139180172,0.645070422535211,0.176056338028169,NA,0.346863468634686,841.5,0.44660909209456,1
"Macropus agilis",0,NA,0.119718309859155,0.229577464788732,1,0.437269372693727,189.5,0.446641286835404,1
"Alcelaphus buselaphus",0,0.30862726406101,0.535211267605634,0.108450704225352,1,0.283210332103321,435.7,0.447099913599063,1
"Erinaceus amurensis",1,0.279313632030505,0.566197183098592,0.769014084507042,NA,0.174354243542435,553.625,0.447219785794644,1
"Oryctolagus cuniculus",1,0.502502383222116,0.590140845070423,0.102816901408451,1,0.0415129151291513,579.2,0.447394608966028,1
"Microtus pennsylvanicus",0,0.55838894184938,0.72112676056338,0.166197183098592,NA,0.346863468634686,790.25,0.44814408853651,1
"Macaca mulatta",0,0.2697807435653,0.749295774647887,0.0154929577464789,1,0.207564575645756,412.1,0.448426810321085,1
"Niviventer confucianus",1,0.245471877979028,0.566197183098592,0.835211267605634,NA,0.174354243542435,529.875,0.455308643056422,1
"Vicugna vicugna",1,0.674928503336511,0.507042253521127,0.0676056338028169,1,0.0322878228782288,706.1,0.456372842707737,1
"Erythrocebus patas",0,0.419804575786463,0.37887323943662,0.138028169014085,1,0.346863468634686,517.9,0.456713890574371,1
"Taurotragus oryx",0,NA,0.53943661971831,0.0746478873239437,1,0.252767527675277,211.5,0.466713008679383,1
"Cricetomys gambianus",0,0.346639656816015,0.487323943661972,0.163380281690141,1,0.346863468634686,475.5,0.468841470160563,1
"Cercopithecus ascanius",0,0.468779790276454,0.388732394366197,0.149295774647887,1,0.346863468634686,562,0.470734285585045,1
"Elephas maximus",0,0.524189704480458,0.308450704225352,0.17887323943662,1,0.346863468634686,601.3,0.471675423355423,1
"Eudorcas thomsonii",0,0.473307912297426,0.505633802816901,0.0971830985915493,1,0.283210332103321,568.1,0.47186702916184,1
"Antilocapra americana",0,0.583412774070543,0.385915492957746,0.112676056338028,1,0.283210332103321,645.7,0.473042931093928,1
"Damaliscus lunatus",0,0.312082936129647,0.528169014084507,0.184507042253521,1,0.346863468634686,455.3,0.474324492220472,1
"Pongo pygmaeus",0,0.506196377502383,0.591549295774648,0.0464788732394366,1,0.227859778597786,594.7,0.474416865022851,1
"Manis javanica",1,0.253932316491897,0.566197183098592,0.904225352112676,NA,0.174354243542435,551,0.4746772738114,1
"Bison bison",0,0.626787416587226,0.4,0.0873239436619718,1,0.283210332103321,680.5,0.479464338470504,1
"Canis adustus",0,0.257030505243089,0.243661971830986,0.333802816901408,1,0.586715867158672,415.9,0.484242232226831,1
"Bos frontalis",0,NA,0.743661971830986,0.280281690140845,NA,0.437269372693727,321.333333333333,0.487071011555186,1
"Cercopithecus mona",0,0.521091515729266,0.516901408450704,0.115492957746479,1,0.283210332103321,612.4,0.487339242805954,1
"Loxodonta africana",0,0.603551000953289,0.666197183098592,0.247887323943662,NA,0.437269372693727,854.625,0.488726220172317,1
"Panthera pardus",0,0.0762631077216397,0.376760563380282,0.415492957746479,1,0.586715867158672,294.7,0.491046499201414,1
"Hydromys chrysogaster",0,0.334008579599619,0.640845070422535,0.407042253521127,NA,0.586715867158672,615.875,0.492152942675488,1
"Peromyscus maniculatus",0,0.677669208770257,0.287323943661972,0.154929577464789,1,0.346863468634686,723.7,0.493357239706341,1
"Ursus americanus",0,0.550047664442326,0.709859154929578,0.277464788732394,NA,0.437269372693727,811.5,0.493660245199506,1
"Axis axis",0,0.312678741658723,0.66830985915493,0.409859154929577,NA,0.586715867158672,598.875,0.494390905725475,1
