"","Sp","hOrder","hFamily","hGenus"
"948","Chalinolobus_picatus","Chiroptera","Vespertilionidae","Chalinolobus"
"949","Chiroderma_trinitatum","Chiroptera","Phyllostomidae","Chiroderma"
"950","Craseonycteris_thonglongyai","Chiroptera","Craseonycteridae","Craseonycteris"
"951","Cynomops_planirostris","Chiroptera","Molossidae","Cynomops"
"952","Diaemus_youngi","Chiroptera","Phyllostomidae","Diaemus"
"953","Dobsonia_beauforti","Chiroptera","Pteropodidae","Dobsonia"
"954","Dobsonia_exoleta","Chiroptera","Pteropodidae","Dobsonia"
"955","Epomophorus_gambianus","Chiroptera","Pteropodidae","Epomophorus"
"956","Epomops_dobsonii","Chiroptera","Pteropodidae","Epomops"
"957","Eptesicus_andinus","Chiroptera","Vespertilionidae","Eptesicus"
"958","Eptesicus_dimissus","Chiroptera","Vespertilionidae","Eptesicus"
"959","Eptesicus_floweri","Chiroptera","Vespertilionidae","Eptesicus"
"960","Eptesicus_hottentotus","Chiroptera","Vespertilionidae","Eptesicus"
"961","Galidictis_grandidieri","Carnivora","Eupleridae","Galidictis"
"962","Giraffa_camelopardalis","Artiodactyla","Giraffidae","Giraffa"
"963","Glossophaga_leachii","Chiroptera","Phyllostomidae","Glossophaga"
"964","Glyphonycteris_sylvestris","Chiroptera","Phyllostomidae","Glyphonycteris"
"965","Golunda_ellioti","Rodentia","Muridae","Golunda"
"966","Hipposideros_coronatus","Chiroptera","Hipposideridae","Hipposideros"
"967","Hipposideros_demissus","Chiroptera","Hipposideridae","Hipposideros"
"968","Hipposideros_inornatus","Chiroptera","Hipposideridae","Hipposideros"
"969","Hylobates_agilis","Primates","Hylobatidae","Hylobates"
"970","Hylobates_pileatus","Primates","Hylobatidae","Hylobates"
"971","Hypsugo_vordermanni","Chiroptera","Vespertilionidae","Hypsugo"
"972","Kerivoula_argentata","Chiroptera","Vespertilionidae","Kerivoula"
"973","Kerivoula_lanosa","Chiroptera","Vespertilionidae","Kerivoula"
"974","Kerivoula_muscina","Chiroptera","Vespertilionidae","Kerivoula"
"975","Lariscus_insignis","Rodentia","Sciuridae","Lariscus"
"976","Lariscus_niobe","Rodentia","Sciuridae","Lariscus"
"977","Lasiurus_ega","Chiroptera","Vespertilionidae","Lasiurus"
"978","Lonchophylla_hesperia","Chiroptera","Phyllostomidae","Lonchophylla"
"979","Melonycteris_woodfordi","Chiroptera","Pteropodidae","Melonycteris"
"980","Micromys_minutus","Rodentia","Muridae","Micromys"
"981","Micronycteris_microtis","Chiroptera","Phyllostomidae","Micronycteris"
"982","Micropteropus_pusillus","Chiroptera","Pteropodidae","Micropteropus"
"983","Microtus_clarkei","Rodentia","Cricetidae","Microtus"
"984","Mimetillus_moloneyi","Chiroptera","Vespertilionidae","Mimetillus"
"985","Miniopterus_manavi","Chiroptera","Vespertilionidae","Miniopterus"
"986","Molossops_aequatorianus","Chiroptera","Molossidae","Molossops"
"987","Monophyllus_plethodon","Chiroptera","Phyllostomidae","Monophyllus"
"988","Mops_demonstrator","Chiroptera","Molossidae","Mops"
"989","Moschus_chrysogaster","Artiodactyla","Moschidae","Moschus"
"990","Mosia_nigrescens","Chiroptera","Emballonuridae","Mosia"
"991","Myotis_ater","Chiroptera","Vespertilionidae","Myotis"
"992","Myotis_bombinus","Chiroptera","Vespertilionidae","Myotis"
"993","Myotis_capaccinii","Chiroptera","Vespertilionidae","Myotis"
"994","Myotis_macropus","Chiroptera","Vespertilionidae","Myotis"
"995","Myotis_macrotarsus","Chiroptera","Vespertilionidae","Myotis"
"996","Nannosciurus_melanotis","Rodentia","Sciuridae","Nannosciurus"
"997","Niviventer_eha","Rodentia","Muridae","Niviventer"
"998","Nycteris_aurita","Chiroptera","Nycteridae","Nycteris"
"999","Nycteris_parisii","Chiroptera","Nycteridae","Nycteris"
"1000","Nycticeius_cubanus","Chiroptera","Vespertilionidae","Nycticeius"
"1001","Nyctimene_major","Chiroptera","Pteropodidae","Nyctimene"
"1002","Nyctimene_rabori","Chiroptera","Pteropodidae","Nyctimene"
"1003","Nyctinomops_macrotis","Chiroptera","Molossidae","Nyctinomops"
"1004","Nyctophilus_walkeri","Chiroptera","Vespertilionidae","Nyctophilus"
"1005","Oligoryzomys_andinus","Rodentia","Cricetidae","Oligoryzomys"
"1006","Otomops_formosus","Chiroptera","Molossidae","Otomops"
"1007","Peropteryx_trinitatis","Chiroptera","Emballonuridae","Peropteryx"
"1008","Phyllostomus_discolor","Chiroptera","Phyllostomidae","Phyllostomus"
"1009","Pipistrellus_hesperidus","Chiroptera","Vespertilionidae","Pipistrellus"
"1010","Pipistrellus_wattsi","Chiroptera","Vespertilionidae","Pipistrellus"
"1011","Pipistrellus_westralis","Chiroptera","Vespertilionidae","Pipistrellus"
"1012","Pseudomys_johnsoni","Rodentia","Muridae","Pseudomys"
"1013","Pteralopex_anceps","Chiroptera","Pteropodidae","Pteralopex"
"1014","Pteronotus_gymnonotus","Chiroptera","Mormoopidae","Pteronotus"
"1015","Pteropus_chrysoproctus","Chiroptera","Pteropodidae","Pteropus"
"1016","Pteropus_gilliardorum","Chiroptera","Pteropodidae","Pteropus"
"1017","Pteropus_mariannus","Chiroptera","Pteropodidae","Pteropus"
"1018","Pteropus_melanotus","Chiroptera","Pteropodidae","Pteropus"
"1019","Pteropus_niger","Chiroptera","Pteropodidae","Pteropus"
"1020","Pteropus_personatus","Chiroptera","Pteropodidae","Pteropus"
"1021","Pteropus_rennelli","Chiroptera","Pteropodidae","Pteropus"
"1022","Pteropus_rufus","Chiroptera","Pteropodidae","Pteropus"
"1023","Pteropus_samoensis","Chiroptera","Pteropodidae","Pteropus"
"1024","Pteropus_tonganus","Chiroptera","Pteropodidae","Pteropus"
"1025","Pteropus_tuberculatus","Chiroptera","Pteropodidae","Pteropus"
"1026","Pteropus_woodfordi","Chiroptera","Pteropodidae","Pteropus"
"1027","Rattus_annandalei","Rodentia","Muridae","Rattus"
"1028","Rhinopoma_microphyllum","Chiroptera","Rhinopomatidae","Rhinopoma"
"1029","Rhogeessa_tumida","Chiroptera","Vespertilionidae","Rhogeessa"
"1030","Rousettus_lanosus","Chiroptera","Pteropodidae","Rousettus"
"1031","Rousettus_obliviosus","Chiroptera","Pteropodidae","Rousettus"
"1032","Saccopteryx_gymnura","Chiroptera","Emballonuridae","Saccopteryx"
"1033","Sorex_excelsus","Soricomorpha","Soricidae","Sorex"
"1034","Sorex_maritimensis","Soricomorpha","Soricidae","Sorex"
"1035","Sturnira_oporaphilum","Chiroptera","Phyllostomidae","Sturnira"
"1036","Sturnira_thomasi","Chiroptera","Phyllostomidae","Sturnira"
"1037","Taphozous_hilli","Chiroptera","Emballonuridae","Taphozous"
"1038","Tonatia_saurophila","Chiroptera","Phyllostomidae","Tonatia"
"1039","Trachypithecus_auratus","Primates","Cercopithecidae","Trachypithecus"
"1040","Trachypithecus_cristatus","Primates","Cercopithecidae","Trachypithecus"
"1041","Triaenops_rufus","Chiroptera","Hipposideridae","Triaenops"
"1042","Tupaia_glis","Scandentia","Tupaiidae","Tupaia"
"1043","Vespadelus_vulturnus","Chiroptera","Vespertilionidae","Vespadelus"
"1044","Alouatta_caraya","Primates","Atelidae","Alouatta"
"1045","Anomalurus_beecrofti","Rodentia","Anomaluridae","Anomalurus"
"1046","Apomys_insignis","Rodentia","Muridae","Apomys"
"1047","Ariteus_flavescens","Chiroptera","Phyllostomidae","Ariteus"
"1048","Berylmys_berdmorei","Rodentia","Muridae","Berylmys"
"1049","Callosciurus_albescens","Rodentia","Sciuridae","Callosciurus"
"1050","Chaerephon_gallagheri","Chiroptera","Molossidae","Chaerephon"
"1051","Chaerephon_russatus","Chiroptera","Molossidae","Chaerephon"
"1052","Chalinolobus_gouldii","Chiroptera","Vespertilionidae","Chalinolobus"
"1053","Chodsigoa_parca","Soricomorpha","Soricidae","Chodsigoa"
"1054","Choeroniscus_godmani","Chiroptera","Phyllostomidae","Choeroniscus"
"1055","Crocidura_macarthuri","Soricomorpha","Soricidae","Crocidura"
"1056","Crocidura_palawanensis","Soricomorpha","Soricidae","Crocidura"
"1057","Cryptotis_thomasi","Soricomorpha","Soricidae","Cryptotis"
"1058","Diclidurus_scutatus","Chiroptera","Emballonuridae","Diclidurus"
"1059","Diphylla_ecaudata","Chiroptera","Phyllostomidae","Diphylla"
"1060","Dobsonia_crenulata","Chiroptera","Pteropodidae","Dobsonia"
"1061","Dremomys_pyrrhomerus","Rodentia","Sciuridae","Dremomys"
"1062","Elephas_maximus","Proboscidea","Elephantidae","Elephas"
"1063","Emballonura_dianae","Chiroptera","Emballonuridae","Emballonura"
"1064","Emballonura_raffrayana","Chiroptera","Emballonuridae","Emballonura"
"1065","Epomophorus_wahlbergi","Chiroptera","Pteropodidae","Epomophorus"
"1066","Eptesicus_innoxius","Chiroptera","Vespertilionidae","Eptesicus"
"1067","Eptesicus_japonensis","Chiroptera","Vespertilionidae","Eptesicus"
"1068","Erinaceus_europaeus","Erinaceomorpha","Erinaceidae","Erinaceus"
"1069","Glauconycteris_beatrix","Chiroptera","Vespertilionidae","Glauconycteris"
"1070","Hemitragus_jemlahicus","Artiodactyla","Bovidae","Hemitragus"
"1071","Hipposideros_beatus","Chiroptera","Hipposideridae","Hipposideros"
"1072","Hipposideros_caffer","Chiroptera","Hipposideridae","Hipposideros"
"1073","Hipposideros_calcaratus","Chiroptera","Hipposideridae","Hipposideros"
"1074","Hipposideros_camerunensis","Chiroptera","Hipposideridae","Hipposideros"
"1075","Hipposideros_corynophyllus","Chiroptera","Hipposideridae","Hipposideros"
"1076","Hipposideros_maggietaylorae","Chiroptera","Hipposideridae","Hipposideros"
"1077","Hypsignathus_monstrosus","Chiroptera","Pteropodidae","Hypsignathus"
"1078","Hystrix_javanica","Rodentia","Hystricidae","Hystrix"
"1079","Kerivoula_smithii","Chiroptera","Vespertilionidae","Kerivoula"
"1080","Lasiurus_blossevillii","Chiroptera","Vespertilionidae","Lasiurus"
"1081","Lasiurus_intermedius","Chiroptera","Vespertilionidae","Lasiurus"
"1082","Lasiurus_salinae","Chiroptera","Vespertilionidae","Lasiurus"
"1083","Lonchophylla_handleyi","Chiroptera","Phyllostomidae","Lonchophylla"
"1084","Lonchophylla_thomasi","Chiroptera","Phyllostomidae","Lonchophylla"
"1085","Maxomys_rajah","Rodentia","Muridae","Maxomys"
"1086","Mazama_temama","Artiodactyla","Cervidae","Mazama"
"1087","Megaloglossus_woermanni","Chiroptera","Pteropodidae","Megaloglossus"
"1088","Mesechinus_hughi","Erinaceomorpha","Erinaceidae","Mesechinus"
"1089","Mimon_bennettii","Chiroptera","Phyllostomidae","Mimon"
"1090","Mimon_koepckeae","Chiroptera","Phyllostomidae","Mimon"
"1091","Molossus_aztecus","Chiroptera","Molossidae","Molossus"
"1092","Molossus_coibensis","Chiroptera","Molossidae","Molossus"
"1093","Molossus_rufus","Chiroptera","Molossidae","Molossus"
"1094","Monophyllus_redmani","Chiroptera","Phyllostomidae","Monophyllus"
"1095","Mops_niveiventer","Chiroptera","Molossidae","Mops"
"1096","Mormopterus_acetabulosus","Chiroptera","Molossidae","Mormopterus"
"1097","Mormopterus_doriae","Chiroptera","Molossidae","Mormopterus"
"1098","Murina_ussuriensis","Chiroptera","Vespertilionidae","Murina"
"1099","Mus_terricolor","Rodentia","Muridae","Mus"
"1100","Myotis_austroriparius","Chiroptera","Vespertilionidae","Myotis"
"1101","Myotis_dasycneme","Chiroptera","Vespertilionidae","Myotis"
"1102","Myotis_emarginatus","Chiroptera","Vespertilionidae","Myotis"
"1103","Myotis_ikonnikovi","Chiroptera","Vespertilionidae","Myotis"
"1104","Myotis_sodalis","Chiroptera","Vespertilionidae","Myotis"
"1105","Naemorhedus_baileyi","Artiodactyla","Bovidae","Naemorhedus"
"1106","Natalus_primus","Chiroptera","Natalidae","Natalus"
"1107","Neodon_irene","Rodentia","Cricetidae","Neodon"
"1108","Neonycteris_pusilla","Chiroptera","Phyllostomidae","Neonycteris"
"1109","Niviventer_fraternus","Rodentia","Muridae","Niviventer"
"1110","Notopteris_neocaledonica","Chiroptera","Pteropodidae","Notopteris"
"1111","Nycteris_intermedia","Chiroptera","Nycteridae","Nycteris"
"1112","Nyctimene_vizcaccia","Chiroptera","Pteropodidae","Nyctimene"
"1113","Nyctinomops_aurispinosus","Chiroptera","Molossidae","Nyctinomops"
"1114","Oryx_gazella","Artiodactyla","Bovidae","Oryx"
"1115","Otomops_papuensis","Chiroptera","Molossidae","Otomops"
"1116","Peromyscus_crinitus","Rodentia","Cricetidae","Peromyscus"
"1117","Petinomys_setosus","Rodentia","Sciuridae","Petinomys"
"1118","Phyllostomus_latifolius","Chiroptera","Phyllostomidae","Phyllostomus"
"1119","Piliocolobus_tholloni","Primates","Cercopithecidae","Piliocolobus"
"1120","Pipistrellus_adamsi","Chiroptera","Vespertilionidae","Pipistrellus"
"1121","Pipistrellus_collinus","Chiroptera","Vespertilionidae","Pipistrellus"
"1122","Pipistrellus_hesperus","Chiroptera","Vespertilionidae","Pipistrellus"
"1123","Pipistrellus_kuhlii","Chiroptera","Vespertilionidae","Pipistrellus"
"1124","Pithecheir_parvus","Rodentia","Muridae","Pithecheir"
"1125","Platyrrhinus_umbratus","Chiroptera","Phyllostomidae","Platyrrhinus"
"1126","Presbytis_thomasi","Primates","Cercopithecidae","Presbytis"
"1127","Pteronotus_parnellii","Chiroptera","Mormoopidae","Pteronotus"
"1128","Pteropus_pumilus","Chiroptera","Pteropodidae","Pteropus"
"1129","Pygathrix_nigripes","Primates","Cercopithecidae","Pygathrix"
"1130","Rhogeessa_minutilla","Chiroptera","Vespertilionidae","Rhogeessa"
"1131","Rousettus_madagascariensis","Chiroptera","Pteropodidae","Rousettus"
"1132","Rucervus_duvaucelii","Artiodactyla","Cervidae","Rucervus"
"1133","Saccolaimus_mixtus","Chiroptera","Emballonuridae","Saccolaimus"
"1134","Saccolaimus_peli","Chiroptera","Emballonuridae","Saccolaimus"
"1135","Sciurus_richmondi","Rodentia","Sciuridae","Sciurus"
"1136","Scleronycteris_ega","Chiroptera","Phyllostomidae","Scleronycteris"
"1137","Scotorepens_orion","Chiroptera","Vespertilionidae","Scotorepens"
"1138","Sorex_caecutiens","Soricomorpha","Soricidae","Sorex"
"1139","Stenoderma_rufum","Chiroptera","Phyllostomidae","Stenoderma"
"1140","Trachypithecus_germaini","Primates","Cercopithecidae","Trachypithecus"
"1141","Triaenops_auritus","Chiroptera","Hipposideridae","Triaenops"
"1142","Trinycteris_nicefori","Chiroptera","Phyllostomidae","Trinycteris"
"1143","Vampyressa_nymphaea","Chiroptera","Phyllostomidae","Vampyressa"
"1144","Vampyrum_spectrum","Chiroptera","Phyllostomidae","Vampyrum"
"1145","Vespadelus_regulus","Chiroptera","Vespertilionidae","Vespadelus"
"1146","Vespertilio_murinus","Chiroptera","Vespertilionidae","Vespertilio"
"1147","Vulpes_pallida","Carnivora","Canidae","Vulpes"
"1148","Amorphochilus_schnablii","Chiroptera","Furipteridae","Amorphochilus"
"1149","Anoura_latidens","Chiroptera","Phyllostomidae","Anoura"
"1150","Apodemus_chevrieri","Rodentia","Muridae","Apodemus"
"1151","Apodemus_rusiges","Rodentia","Muridae","Apodemus"
"1152","Arctocephalus_gazella","Carnivora","Otariidae","Arctocephalus"
"1153","Artibeus_fimbriatus","Chiroptera","Phyllostomidae","Artibeus"
"1154","Artibeus_watsoni","Chiroptera","Phyllostomidae","Artibeus"
"1155","Bandicota_bengalensis","Rodentia","Muridae","Bandicota"
"1156","Canis_adustus","Carnivora","Canidae","Canis"
"1157","Cannomys_badius","Rodentia","Spalacidae","Cannomys"
"1158","Chaetodipus_goldmani","Rodentia","Heteromyidae","Chaetodipus"
"1159","Chinchillula_sahamae","Rodentia","Cricetidae","Chinchillula"
"1160","Corynorhinus_townsendii","Chiroptera","Vespertilionidae","Corynorhinus"
"1161","Crocidura_baluensis","Soricomorpha","Soricidae","Crocidura"
"1162","Crocidura_macmillani","Soricomorpha","Soricidae","Crocidura"
"1163","Ctenomys_saltarius","Rodentia","Ctenomyidae","Ctenomys"
"1164","Dendromus_oreas","Rodentia","Nesomyidae","Dendromus"
"1165","Diclidurus_ingens","Chiroptera","Emballonuridae","Diclidurus"
"1166","Dipodomys_panamintinus","Rodentia","Heteromyidae","Dipodomys"
"1167","Dorcatragus_megalotis","Artiodactyla","Bovidae","Dorcatragus"
"1168","Emballonura_semicaudata","Chiroptera","Emballonuridae","Emballonura"
"1169","Eonycteris_robusta","Chiroptera","Pteropodidae","Eonycteris"
"1170","Eospalax_rothschildi","Rodentia","Spalacidae","Eospalax"
"1171","Epomophorus_minor","Chiroptera","Pteropodidae","Epomophorus"
"1172","Eptesicus_furinalis","Chiroptera","Vespertilionidae","Eptesicus"
"1173","Eptesicus_tatei","Chiroptera","Vespertilionidae","Eptesicus"
"1174","Eropeplus_canus","Rodentia","Muridae","Eropeplus"
"1175","Eudorcas_thomsonii","Artiodactyla","Bovidae","Eudorcas"
"1176","Eupleres_goudotii","Carnivora","Eupleridae","Eupleres"
"1177","Exilisciurus_exilis","Rodentia","Sciuridae","Exilisciurus"
"1178","Falsistrellus_mackenziei","Chiroptera","Vespertilionidae","Falsistrellus"
"1179","Genetta_abyssinica","Carnivora","Viverridae","Genetta"
"1180","Gerbillus_cheesmani","Rodentia","Muridae","Gerbillus"
"1181","Glyphotes_simus","Rodentia","Sciuridae","Glyphotes"
"1182","Grammomys_aridulus","Rodentia","Muridae","Grammomys"
"1183","Hapalemur_occidentalis","Primates","Lemuridae","Hapalemur"
"1184","Hipposideros_abae","Chiroptera","Hipposideridae","Hipposideros"
"1185","Hipposideros_jonesi","Chiroptera","Hipposideridae","Hipposideros"
"1186","Hipposideros_megalotis","Chiroptera","Hipposideridae","Hipposideros"
"1187","Hipposideros_obscurus","Chiroptera","Hipposideridae","Hipposideros"
"1188","Hipposideros_stenotis","Chiroptera","Hipposideridae","Hipposideros"
"1189","Hybomys_lunaris","Rodentia","Muridae","Hybomys"
"1190","Idiurus_macrotis","Rodentia","Anomaluridae","Idiurus"
"1191","Kerivoula_whiteheadi","Chiroptera","Vespertilionidae","Kerivoula"
"1192","Lasiurus_seminolus","Chiroptera","Vespertilionidae","Lasiurus"
"1193","Leptonycteris_yerbabuenae","Chiroptera","Phyllostomidae","Leptonycteris"
"1194","Lionycteris_spurrelli","Chiroptera","Phyllostomidae","Lionycteris"
"1195","Lonchophylla_mordax","Chiroptera","Phyllostomidae","Lonchophylla"
"1196","Lycalopex_fulvipes","Carnivora","Canidae","Lycalopex"
"1197","Macrotus_waterhousii","Chiroptera","Phyllostomidae","Macrotus"
"1198","Megaerops_kusnotoi","Chiroptera","Pteropodidae","Megaerops"
"1199","Mellivora_capensis","Carnivora","Mustelidae","Mellivora"
"1200","Melomys_frigicola","Rodentia","Muridae","Melomys"
"1201","Mesembriomys_macrurus","Rodentia","Muridae","Mesembriomys"
"1202","Micronycteris_minuta","Chiroptera","Phyllostomidae","Micronycteris"
"1203","Microtus_miurus","Rodentia","Cricetidae","Microtus"
"1204","Miniopterus_robustior","Chiroptera","Vespertilionidae","Miniopterus"
"1205","Mirounga_angustirostris","Carnivora","Phocidae","Mirounga"
"1206","Molossus_molossus","Chiroptera","Molossidae","Molossus"
"1207","Molossus_sinaloae","Chiroptera","Molossidae","Molossus"
"1208","Mops_niangarae","Chiroptera","Molossidae","Mops"
"1209","Mops_trevori","Chiroptera","Molossidae","Mops"
"1210","Mormopterus_jugularis","Chiroptera","Molossidae","Mormopterus"
"1211","Mormopterus_norfolkensis","Chiroptera","Molossidae","Mormopterus"
"1212","Moschus_fuscus","Artiodactyla","Moschidae","Moschus"
"1213","Murina_rozendaali","Chiroptera","Vespertilionidae","Murina"
"1214","Mus_saxicola","Rodentia","Muridae","Mus"
"1215","Myopterus_daubentonii","Chiroptera","Molossidae","Myopterus"
"1216","Myotis_chiloensis","Chiroptera","Vespertilionidae","Myotis"
"1217","Myotis_nesopolus","Chiroptera","Vespertilionidae","Myotis"
"1218","Myotis_nigricans","Chiroptera","Vespertilionidae","Myotis"
"1219","Myotis_riparius","Chiroptera","Vespertilionidae","Myotis"
"1220","Myotis_simus","Chiroptera","Vespertilionidae","Myotis"
"1221","Neoromicia_capensis","Chiroptera","Vespertilionidae","Neoromicia"
"1222","Neoromicia_flavescens","Chiroptera","Vespertilionidae","Neoromicia"
"1223","Neusticomys_oyapocki","Rodentia","Cricetidae","Neusticomys"
"1224","Niviventer_andersoni","Rodentia","Muridae","Niviventer"
"1225","Niviventer_rapit","Rodentia","Muridae","Niviventer"
"1226","Noctilio_albiventris","Chiroptera","Noctilionidae","Noctilio"
"1227","Nomascus_leucogenys","Primates","Hylobatidae","Nomascus"
"1228","Nyctophilus_geoffroyi","Chiroptera","Vespertilionidae","Nyctophilus"
"1229","Orthogeomys_hispidus","Rodentia","Geomyidae","Orthogeomys"
"1230","Otopteropus_cartilagonodus","Chiroptera","Pteropodidae","Otopteropus"
"1231","Ovibos_moschatus","Artiodactyla","Bovidae","Ovibos"
"1232","Paracrocidura_maxima","Soricomorpha","Soricidae","Paracrocidura"
"1233","Paranyctimene_raptor","Chiroptera","Pteropodidae","Paranyctimene"
"1234","Peromyscus_hooperi","Rodentia","Cricetidae","Peromyscus"
"1235","Peromyscus_melanophrys","Rodentia","Cricetidae","Peromyscus"
"1236","Peropteryx_leucoptera","Chiroptera","Emballonuridae","Peropteryx"
"1237","Phyllomys_nigrispinus","Rodentia","Echimyidae","Phyllomys"
"1238","Pipistrellus_papuanus","Chiroptera","Vespertilionidae","Pipistrellus"
"1239","Platyrrhinus_infuscus","Chiroptera","Phyllostomidae","Platyrrhinus"
"1240","Prionailurus_viverrinus","Carnivora","Felidae","Prionailurus"
"1241","Prometheomys_schaposchnikowi","Rodentia","Cricetidae","Prometheomys"
"1242","Propithecus_coquereli","Primates","Indriidae","Propithecus"
"1243","Pseudois_schaeferi","Artiodactyla","Bovidae","Pseudois"
"1244","Pseudomys_albocinereus","Rodentia","Muridae","Pseudomys"
"1245","Pteronotus_quadridens","Chiroptera","Mormoopidae","Pteronotus"
"1246","Pteropus_aruensis","Chiroptera","Pteropodidae","Pteropus"
"1247","Pteropus_cognatus","Chiroptera","Pteropodidae","Pteropus"
"1248","Pteropus_dasymallus","Chiroptera","Pteropodidae","Pteropus"
"1249","Pteropus_griseus","Chiroptera","Pteropodidae","Pteropus"
"1250","Pteropus_lombocensis","Chiroptera","Pteropodidae","Pteropus"
"1251","Pteropus_ocularis","Chiroptera","Pteropodidae","Pteropus"
"1252","Pteropus_pohlei","Chiroptera","Pteropodidae","Pteropus"
"1253","Pteropus_rayneri","Chiroptera","Pteropodidae","Pteropus"
"1254","Pteropus_seychellensis","Chiroptera","Pteropodidae","Pteropus"
"1255","Pteropus_temminckii","Chiroptera","Pteropodidae","Pteropus"
"1256","Pygathrix_nemaeus","Primates","Cercopithecidae","Pygathrix"
"1257","Redunca_fulvorufula","Artiodactyla","Bovidae","Redunca"
"1258","Rhipidomys_wetzeli","Rodentia","Cricetidae","Rhipidomys"
"1259","Rhogeessa_alleni","Chiroptera","Vespertilionidae","Rhogeessa"
"1260","Rousettus_celebensis","Chiroptera","Pteropodidae","Rousettus"
"1261","Salpingotus_crassicauda","Rodentia","Dipodidae","Salpingotus"
"1262","Scotonycteris_zenkeri","Chiroptera","Pteropodidae","Scotonycteris"
"1263","Scotophilus_borbonicus","Chiroptera","Vespertilionidae","Scotophilus"
"1264","Scotorepens_balstoni","Chiroptera","Vespertilionidae","Scotorepens"
"1265","Sicista_concolor","Rodentia","Dipodidae","Sicista"
"1266","Stochomys_longicaudatus","Rodentia","Muridae","Stochomys"
"1267","Sturnira_erythromos","Chiroptera","Phyllostomidae","Sturnira"
"1268","Sundasciurus_rabori","Rodentia","Sciuridae","Sundasciurus"
"1269","Sylvilagus_graysoni","Lagomorpha","Leporidae","Sylvilagus"
"1270","Tadarida_lobata","Chiroptera","Molossidae","Tadarida"
"1271","Talpa_levantis","Soricomorpha","Talpidae","Talpa"
"1272","Taphozous_troughtoni","Chiroptera","Emballonuridae","Taphozous"
"1273","Tatera_indica","Rodentia","Muridae","Tatera"
"1274","Thomasomys_popayanus","Rodentia","Cricetidae","Thomasomys"
"1275","Thoopterus_nigrescens","Chiroptera","Pteropodidae","Thoopterus"
"1276","Tolypeutes_tricinctus","Cingulata","Dasypodidae","Tolypeutes"
"1277","Tragelaphus_eurycerus","Artiodactyla","Bovidae","Tragelaphus"
"1278","Triaenops_persicus","Chiroptera","Hipposideridae","Triaenops"
"1279","Tupaia_gracilis","Scandentia","Tupaiidae","Tupaia"
"1280","Uromys_caudimaculatus","Rodentia","Muridae","Uromys"
"1281","Abrawayaomys_ruschii","Rodentia","Cricetidae","Abrawayaomys"
"1282","Abrothrix_lanosus","Rodentia","Cricetidae","Abrothrix"
"1283","Abrothrix_longipilis","Rodentia","Cricetidae","Abrothrix"
"1284","Abrothrix_markhami","Rodentia","Cricetidae","Abrothrix"
"1285","Ailuropoda_melanoleuca","Carnivora","Ursidae","Ailuropoda"
"1286","Allactaga_severtzovi","Rodentia","Dipodidae","Allactaga"
"1287","Allocricetulus_eversmanni","Rodentia","Cricetidae","Allocricetulus"
"1288","Anoura_geoffroyi","Chiroptera","Phyllostomidae","Anoura"
"1289","Anourosorex_assamensis","Soricomorpha","Soricidae","Anourosorex"
"1290","Antilope_cervicapra","Artiodactyla","Bovidae","Antilope"
"1291","Apodemus_argenteus","Rodentia","Muridae","Apodemus"
"1292","Arctocephalus_forsteri","Carnivora","Otariidae","Arctocephalus"
"1293","Artibeus_concolor","Chiroptera","Phyllostomidae","Artibeus"
"1294","Artibeus_fraterculus","Chiroptera","Phyllostomidae","Artibeus"
"1295","Artibeus_gnomus","Chiroptera","Phyllostomidae","Artibeus"
"1296","Arvicanthis_ansorgei","Rodentia","Muridae","Arvicanthis"
"1297","Arvicola_amphibius","Rodentia","Cricetidae","Arvicola"
"1298","Bathyergus_suillus","Rodentia","Bathyergidae","Bathyergus"
"1299","Blarinella_quadraticauda","Soricomorpha","Soricidae","Blarinella"
"1300","Bubalus_quarlesi","Artiodactyla","Bovidae","Bubalus"
"1301","Callosciurus_baluensis","Rodentia","Sciuridae","Callosciurus"
"1302","Capra_caucasica","Artiodactyla","Bovidae","Capra"
"1303","Capra_ibex","Artiodactyla","Bovidae","Capra"
"1304","Capromys_pilorides","Rodentia","Capromyidae","Capromys"
"1305","Caryomys_eva","Rodentia","Cricetidae","Caryomys"
"1306","Catagonus_wagneri","Artiodactyla","Tayassuidae","Catagonus"
"1307","Cavia_magna","Rodentia","Caviidae","Cavia"
"1308","Cebus_libidinosus","Primates","Cebidae","Cebus"
"1309","Cephalophus_dorsalis","Artiodactyla","Bovidae","Cephalophus"
"1310","Cephalophus_nigrifrons","Artiodactyla","Bovidae","Cephalophus"
"1311","Cephalophus_silvicultor","Artiodactyla","Bovidae","Cephalophus"
"1312","Cervus_elaphus","Artiodactyla","Cervidae","Cervus"
"1313","Chalinolobus_nigrogriseus","Chiroptera","Vespertilionidae","Chalinolobus"
"1314","Conepatus_humboldtii","Carnivora","Mephitidae","Conepatus"
"1315","Connochaetes_taurinus","Artiodactyla","Bovidae","Connochaetes"
"1316","Cormura_brevirostris","Chiroptera","Emballonuridae","Cormura"
"1317","Cricetulus_kamensis","Rodentia","Cricetidae","Cricetulus"
"1318","Crocidura_attila","Soricomorpha","Soricidae","Crocidura"
"1319","Crocidura_denti","Soricomorpha","Soricidae","Crocidura"
"1320","Crocidura_glassi","Soricomorpha","Soricidae","Crocidura"
"1321","Crocidura_jacksoni","Soricomorpha","Soricidae","Crocidura"
"1322","Crocidura_lucina","Soricomorpha","Soricidae","Crocidura"
