"","Sp","hOrder","hFamily","hGenus"
"212","Echinosorex_gymnura","Erinaceomorpha","Erinaceidae","Echinosorex"
"213","Lutra_sumatrana","Carnivora","Mustelidae","Lutra"
"214","Martes_foina","Carnivora","Mustelidae","Martes"
"215","Maxomys_surifer","Rodentia","Muridae","Maxomys"
"216","Melogale_personata","Carnivora","Mustelidae","Melogale"
"217","Myotis_ridleyi","Chiroptera","Vespertilionidae","Myotis"
"218","Neofelis_nebulosa","Carnivora","Felidae","Neofelis"
"219","Nyctereutes_procyonoides","Carnivora","Canidae","Nyctereutes"
"220","Arctictis_binturong","Carnivora","Viverridae","Arctictis"
"221","Axis_porcinus","Artiodactyla","Cervidae","Axis"
"222","Dyacopterus_spadiceus","Chiroptera","Pteropodidae","Dyacopterus"
"223","Felis_chaus","Carnivora","Felidae","Felis"
"224","Herpestes_urva","Carnivora","Herpestidae","Herpestes"
"225","Megaerops_niphanae","Chiroptera","Pteropodidae","Megaerops"
"226","Melogale_moschata","Carnivora","Mustelidae","Melogale"
"227","Petaurista_petaurista","Rodentia","Sciuridae","Petaurista"
"228","Scotophilus_collinus","Chiroptera","Vespertilionidae","Scotophilus"
"229","Vulpes_vulpes","Carnivora","Canidae","Vulpes"
"230","Ailurus_fulgens","Carnivora","Ailuridae","Ailurus"
"231","Chaerephon_johorensis","Chiroptera","Molossidae","Chaerephon"
"232","Crocidura_foetida","Soricomorpha","Soricidae","Crocidura"
"233","Crocidura_rapax","Soricomorpha","Soricidae","Crocidura"
"234","Emballonura_furax","Chiroptera","Emballonuridae","Emballonura"
"235","Eptesicus_serotinus","Chiroptera","Vespertilionidae","Eptesicus"
"236","Hipposideros_macrobullatus","Chiroptera","Hipposideridae","Hipposideros"
"237","Manis_pentadactyla","Pholidota","Manidae","Manis"
"238","Muntiacus_rooseveltorum","Artiodactyla","Cervidae","Muntiacus"
"239","Mustela_nudipes","Carnivora","Mustelidae","Mustela"
"240","Myotis_pequinius","Chiroptera","Vespertilionidae","Myotis"
"241","Paguma_larvata","Carnivora","Viverridae","Paguma"
"242","Panthera_pardus","Carnivora","Felidae","Panthera"
"243","Prionodon_linsang","Carnivora","Viverridae","Prionodon"
"244","Prionodon_pardicolor","Carnivora","Viverridae","Prionodon"
"245","Rattus_tanezumi","Rodentia","Muridae","Rattus"
"246","Rusa_unicolor","Artiodactyla","Cervidae","Rusa"
"247","Sus_barbatus","Artiodactyla","Suidae","Sus"
"248","Tragulus_napu","Artiodactyla","Tragulidae","Tragulus"
"249","Chodsigoa_hypsibia","Soricomorpha","Soricidae","Chodsigoa"
"250","Ectophylla_alba","Chiroptera","Phyllostomidae","Ectophylla"
"251","Herpestes_brachyurus","Carnivora","Herpestidae","Herpestes"
"252","Hipposideros_halophyllus","Chiroptera","Hipposideridae","Hipposideros"
"253","Hipposideros_speoris","Chiroptera","Hipposideridae","Hipposideros"
"254","Lonchorhina_aurita","Chiroptera","Phyllostomidae","Lonchorhina"
"255","Macaca_arctoides","Primates","Cercopithecidae","Macaca"
"256","Manis_crassicaudata","Pholidota","Manidae","Manis"
"257","Martes_flavigula","Carnivora","Mustelidae","Martes"
"258","Melursus_ursinus","Carnivora","Ursidae","Melursus"
"259","Mops_mops","Chiroptera","Molossidae","Mops"
"260","Muntiacus_atherodes","Artiodactyla","Cervidae","Muntiacus"
"261","Naemorhedus_griseus","Artiodactyla","Bovidae","Naemorhedus"
"262","Nyctalus_aviator","Chiroptera","Vespertilionidae","Nyctalus"
"263","Nyctalus_montanus","Chiroptera","Vespertilionidae","Nyctalus"
"264","Paradoxurus_hermaphroditus","Carnivora","Viverridae","Paradoxurus"
"265","Parascaptor_leucura","Soricomorpha","Talpidae","Parascaptor"
"266","Suncus_malayanus","Soricomorpha","Soricidae","Suncus"
"267","Aonyx_cinerea","Carnivora","Mustelidae","Aonyx"
"268","Chimarrogale_styani","Soricomorpha","Soricidae","Chimarrogale"
"269","Chrotogale_owstoni","Carnivora","Viverridae","Chrotogale"
"270","Crocidura_lepidura","Soricomorpha","Soricidae","Crocidura"
"271","Eothenomys_melanogaster","Rodentia","Cricetidae","Eothenomys"
"272","Hemigalus_derbyanus","Carnivora","Viverridae","Hemigalus"
"273","Muntiacus_muntjak","Artiodactyla","Cervidae","Muntiacus"
"274","Mustela_sibirica","Carnivora","Mustelidae","Mustela"
"275","Niviventer_niviventer","Rodentia","Muridae","Niviventer"
"276","Pardofelis_marmorata","Carnivora","Felidae","Pardofelis"
"277","Rhynchonycteris_naso","Chiroptera","Emballonuridae","Rhynchonycteris"
"278","Scaptonyx_fusicaudus","Soricomorpha","Talpidae","Scaptonyx"
"279","Taphozous_perforatus","Chiroptera","Emballonuridae","Taphozous"
"280","Arctogalidia_trivirgata","Carnivora","Viverridae","Arctogalidia"
"281","Crocidura_shantungensis","Soricomorpha","Soricidae","Crocidura"
"282","Cuon_alpinus","Carnivora","Canidae","Cuon"
"283","Dobsonia_peronii","Chiroptera","Pteropodidae","Dobsonia"
"284","Hipposideros_coxi","Chiroptera","Hipposideridae","Hipposideros"
"285","Hystrix_brachyura","Rodentia","Hystricidae","Hystrix"
"286","Mogera_insularis","Soricomorpha","Talpidae","Mogera"
"287","Muntiacus_crinifrons","Artiodactyla","Cervidae","Muntiacus"
"288","Muntiacus_reevesi","Artiodactyla","Cervidae","Muntiacus"
"289","Nectogale_elegans","Soricomorpha","Soricidae","Nectogale"
"290","Petaurista_philippensis","Rodentia","Sciuridae","Petaurista"
"291","Rattus_nitidus","Rodentia","Muridae","Rattus"
"292","Scotoecus_pallidus","Chiroptera","Vespertilionidae","Scotoecus"
"293","Tadarida_teniotis","Chiroptera","Molossidae","Tadarida"
"294","Berylmys_bowersi","Rodentia","Muridae","Berylmys"
"295","Callosciurus_notatus","Rodentia","Sciuridae","Callosciurus"
"296","Catopuma_badia","Carnivora","Felidae","Catopuma"
"297","Episoriculus_macrurus","Soricomorpha","Soricidae","Episoriculus"
"298","Eptesicus_chiriquinus","Chiroptera","Vespertilionidae","Eptesicus"
"299","Hipposideros_gigas","Chiroptera","Hipposideridae","Hipposideros"
"300","Lenothrix_canus","Rodentia","Muridae","Lenothrix"
"301","Leopoldamys_sabanus","Rodentia","Muridae","Leopoldamys"
"302","Lutra_lutra","Carnivora","Mustelidae","Lutra"
"303","Melogale_orientalis","Carnivora","Mustelidae","Melogale"
"304","Myotis_longipes","Chiroptera","Vespertilionidae","Myotis"
"305","Myotis_pruinosus","Chiroptera","Vespertilionidae","Myotis"
"306","Nyctimene_masalai","Chiroptera","Pteropodidae","Nyctimene"
"307","Pseudois_nayaur","Artiodactyla","Bovidae","Pseudois"
"308","Rattus_argentiventer","Rodentia","Muridae","Rattus"
"309","Rhinonicteris_aurantia","Chiroptera","Hipposideridae","Rhinonicteris"
"310","Rhinopoma_hardwickii","Chiroptera","Rhinopomatidae","Rhinopoma"
"311","Rhizomys_pruinosus","Rodentia","Spalacidae","Rhizomys"
"312","Sus_scrofa","Artiodactyla","Suidae","Sus"
"313","Tragulus_javanicus","Artiodactyla","Tragulidae","Tragulus"
"314","Tupaia_javanica","Scandentia","Tupaiidae","Tupaia"
"315","Uropsilus_gracilis","Soricomorpha","Talpidae","Uropsilus"
"316","Viverra_megaspila","Carnivora","Viverridae","Viverra"
"317","Viverra_zibetha","Carnivora","Viverridae","Viverra"
"318","Bos_javanicus","Artiodactyla","Bovidae","Bos"
"319","Callosciurus_caniceps","Rodentia","Sciuridae","Callosciurus"
"320","Canis_aureus","Carnivora","Canidae","Canis"
"321","Chalinolobus_dwyeri","Chiroptera","Vespertilionidae","Chalinolobus"
"322","Crocidura_attenuata","Soricomorpha","Soricidae","Crocidura"
"323","Crocidura_fuliginosa","Soricomorpha","Soricidae","Crocidura"
"324","Euroscaptor_longirostris","Soricomorpha","Talpidae","Euroscaptor"
"325","Hipposideros_cyclops","Chiroptera","Hipposideridae","Hipposideros"
"326","Hypsugo_macrotis","Chiroptera","Vespertilionidae","Hypsugo"
"327","Murina_florium","Chiroptera","Vespertilionidae","Murina"
"328","Mus_booduga","Rodentia","Muridae","Mus"
"329","Mus_cervicolor","Rodentia","Muridae","Mus"
"330","Neoromicia_zuluensis","Chiroptera","Vespertilionidae","Neoromicia"
"331","Notopteris_macdonaldi","Chiroptera","Pteropodidae","Notopteris"
"332","Rattus_losea","Rodentia","Muridae","Rattus"
"333","Rhinopithecus_roxellana","Primates","Cercopithecidae","Rhinopithecus"
"334","Sturnira_magna","Chiroptera","Phyllostomidae","Sturnira"
"335","Symphalangus_syndactylus","Primates","Hylobatidae","Symphalangus"
"336","Tapirus_indicus","Perissodactyla","Tapiridae","Tapirus"
"337","Tragulus_kanchil","Artiodactyla","Tragulidae","Tragulus"
"338","Vampyressa_melissa","Chiroptera","Phyllostomidae","Vampyressa"
"339","Vandeleuria_oleracea","Rodentia","Muridae","Vandeleuria"
"340","Acerodon_mackloti","Chiroptera","Pteropodidae","Acerodon"
"341","Anourosorex_squamipes","Soricomorpha","Soricidae","Anourosorex"
"342","Aselliscus_tricuspidatus","Chiroptera","Hipposideridae","Aselliscus"
"343","Atherurus_macrourus","Rodentia","Hystricidae","Atherurus"
"344","Choeroniscus_minor","Chiroptera","Phyllostomidae","Choeroniscus"
"345","Coleura_afra","Chiroptera","Emballonuridae","Coleura"
"346","Crocidura_brunnea","Soricomorpha","Soricidae","Crocidura"
"347","Cyttarops_alecto","Chiroptera","Emballonuridae","Cyttarops"
"348","Dobsonia_moluccensis","Chiroptera","Pteropodidae","Dobsonia"
"349","Eumops_underwoodi","Chiroptera","Molossidae","Eumops"
"350","Euroscaptor_grandis","Soricomorpha","Talpidae","Euroscaptor"
"351","Glauconycteris_argentata","Chiroptera","Vespertilionidae","Glauconycteris"
"352","Glossophaga_morenoi","Chiroptera","Phyllostomidae","Glossophaga"
"353","Herpestes_semitorquatus","Carnivora","Herpestidae","Herpestes"
"354","Hipposideros_fuliginosus","Chiroptera","Hipposideridae","Hipposideros"
"355","Hipposideros_fulvus","Chiroptera","Hipposideridae","Hipposideros"
"356","Hipposideros_wollastoni","Chiroptera","Hipposideridae","Hipposideros"
"357","Iomys_horsfieldii","Rodentia","Sciuridae","Iomys"
"358","Lissonycteris_angolensis","Chiroptera","Pteropodidae","Lissonycteris"
"359","Lonchophylla_dekeyseri","Chiroptera","Phyllostomidae","Lonchophylla"
"360","Lophostoma_silvicolum","Chiroptera","Phyllostomidae","Lophostoma"
"361","Meles_leucurus","Carnivora","Mustelidae","Meles"
"362","Moschus_berezovskii","Artiodactyla","Moschidae","Moschus"
"363","Mus_musculus","Rodentia","Muridae","Mus"
"364","Myotis_australis","Chiroptera","Vespertilionidae","Myotis"
"365","Myotis_findleyi","Chiroptera","Vespertilionidae","Myotis"
"366","Myotis_welwitschii","Chiroptera","Vespertilionidae","Myotis"
"367","Neoromicia_melckorum","Chiroptera","Vespertilionidae","Neoromicia"
"368","Nyctalus_leisleri","Chiroptera","Vespertilionidae","Nyctalus"
"369","Nycteris_macrotis","Chiroptera","Nycteridae","Nycteris"
"370","Nyctimene_minutus","Chiroptera","Pteropodidae","Nyctimene"
"371","Petaurista_elegans","Rodentia","Sciuridae","Petaurista"
"372","Pharotis_imogene","Chiroptera","Vespertilionidae","Pharotis"
"373","Presbytis_femoralis","Primates","Cercopithecidae","Presbytis"
"374","Presbytis_frontata","Primates","Cercopithecidae","Presbytis"
"375","Prionailurus_planiceps","Carnivora","Felidae","Prionailurus"
"376","Pteropus_hypomelanus","Chiroptera","Pteropodidae","Pteropus"
"377","Pteropus_keyensis","Chiroptera","Pteropodidae","Pteropus"
"378","Ratufa_bicolor","Rodentia","Sciuridae","Ratufa"
