"","hOrder","hFamily","hGenus"
"934","Chiroptera","Phyllostomidae","Uroderma"
"947","Chiroptera","Pteropodidae","Casinycteris"
"950","Chiroptera","Craseonycteridae","Craseonycteris"
"952","Chiroptera","Phyllostomidae","Diaemus"
"984","Chiroptera","Vespertilionidae","Mimetillus"
"987","Chiroptera","Phyllostomidae","Monophyllus"
"990","Chiroptera","Emballonuridae","Mosia"
"1047","Chiroptera","Phyllostomidae","Ariteus"
"1059","Chiroptera","Phyllostomidae","Diphylla"
"1077","Chiroptera","Pteropodidae","Hypsignathus"
"1087","Chiroptera","Pteropodidae","Megaloglossus"
"1108","Chiroptera","Phyllostomidae","Neonycteris"
"1136","Chiroptera","Phyllostomidae","Scleronycteris"
"1139","Chiroptera","Phyllostomidae","Stenoderma"
"1142","Chiroptera","Phyllostomidae","Trinycteris"
"1144","Chiroptera","Phyllostomidae","Vampyrum"
"1148","Chiroptera","Furipteridae","Amorphochilus"
"1194","Chiroptera","Phyllostomidae","Lionycteris"
"1215","Chiroptera","Molossidae","Myopterus"
"1230","Chiroptera","Pteropodidae","Otopteropus"
"1233","Chiroptera","Pteropodidae","Paranyctimene"
"1275","Chiroptera","Pteropodidae","Thoopterus"
"1316","Chiroptera","Emballonuridae","Cormura"
"1334","Chiroptera","Phyllostomidae","Desmodus"
"1537","Chiroptera","Phyllostomidae","Enchisthenes"
"1543","Chiroptera","Vespertilionidae","Euderma"
"1571","Chiroptera","Phyllostomidae","Hylonycteris"
"1634","Chiroptera","Vespertilionidae","Nycticeinops"
"1660","Chiroptera","Phyllostomidae","Phyllonycteris"
"1701","Chiroptera","Phyllostomidae","Sphaeronycteris"
"2177","Chiroptera","Phyllostomidae","Vampyrodes"
"2651","Chiroptera","Phyllostomidae","Platalina"
"3066","Chiroptera","Pteropodidae","Haplonycteris"
