"","unique_name","betacov","sarbecov","preds_allbetacov","preds_sarbecovirus"
"Rousettus_leschenaultii","Rousettus_leschenaultii",1,0,0.047112462681757,0.00204290091930575
"Rousettus_madagascariensis","Rousettus_madagascariensis",0,0,0.047112462681757,0.00204290091930575
"Rousettus_obliviosus","Rousettus_obliviosus",0,0,0.047112462681757,0.00204290091930575
"Rousettus_spinalatus","Rousettus_spinalatus",0,0,0.047112462681757,0.00204290091930575
"Plerotes_anchietae","Plerotes_anchietae",0,0,0.121827411167512,0.00204290091930575
"Casinycteris_argynnis","Casinycteris_argynnis",0,0,0.121827411167512,0.00204290091930575
"Scotonycteris_ophiodon","Scotonycteris_ophiodon",0,0,0.121827411167512,0.00204290091930575
"Scotonycteris_zenkeri","Scotonycteris_zenkeri",0,0,0.047112462681757,0.00204290091930575
"Nanonycteris_veldkampii","Nanonycteris_veldkampii",0,0,0.047112462681757,0.00204290091930575
"Hypsignathus_monstrosus","Hypsignathus_monstrosus",0,0,0.047112462681757,0.00204290091930575
"Epomops_buettikoferi","Epomops_buettikoferi",0,0,0.047112462681757,0.00204290091930575
"Epomops_dobsonii","Epomops_dobsonii",0,0,0.047112462681757,0.00204290091930575
"Epomops_franqueti","Epomops_franqueti",1,0,0.047112462681757,0.00204290091930575
"Micropteropus_intermedius","Micropteropus_intermedius",0,0,0.047112462681757,0.00204290091930575
"Micropteropus_pusillus","Micropteropus_pusillus",1,0,0.047112462681757,0.00204290091930575
"Epomophorus_wahlbergi","Epomophorus_wahlbergi",0,0,0.047112462681757,0.00204290091930575
"Epomophorus_angolensis","Epomophorus_angolensis",0,0,0.047112462681757,0.00204290091930575
"Epomophorus_gambianus","Epomophorus_gambianus",1,0,0.047112462681757,0.00204290091930575
"Epomophorus_crypturus","Epomophorus_crypturus",0,0,0.047112462681757,0.00204290091930575
"Epomophorus_grandis","Epomophorus_grandis",0,0,0.047112462681757,0.00204290091930575
"Epomophorus_labiatus","Epomophorus_labiatus",1,0,0.047112462681757,0.00204290091930575
"Epomophorus_minor","Epomophorus_minor",0,0,0.047112462681757,0.00204290091930575
"Epomophorus_minimus","Epomophorus_minimus",0,0,0.047112462681757,0.00204290091930575
"Eonycteris_major","Eonycteris_major",0,0,0.047112462681757,0.00204290091930575
"Eonycteris_robusta","Eonycteris_robusta",0,0,0.047112462681757,0.00204290091930575
"Eonycteris_spelaea","Eonycteris_spelaea",1,0,0.047112462681757,0.00204290091930575
"Macroglossus_minimus","Macroglossus_minimus",0,0,0.047112462681757,0.00204290091930575
"Macroglossus_sobrinus","Macroglossus_sobrinus",0,0,0.047112462681757,0.00204290091930575
"Syconycteris_australis","Syconycteris_australis",0,0,0.047112462681757,0.00204290091930575
"Syconycteris_carolinae","Syconycteris_carolinae",0,0,0.047112462681757,0.00204290091930575
"Syconycteris_hobbit","Syconycteris_hobbit",0,0,0.047112462681757,0.00204290091930575
"Notopteris_macdonaldi","Notopteris_macdonaldi",0,0,0.047112462681757,0.00204290091930575
"Notopteris_neocaledonica","Notopteris_neocaledonica",0,0,0.047112462681757,0.00204290091930575
"Melonycteris_melanops","Melonycteris_melanops",0,0,0.047112462681757,0.00204290091930575
"Melonycteris_woodfordi","Melonycteris_woodfordi",0,0,0.047112462681757,0.00204290091930575
"Harpyionycteris_celebensis","Harpyionycteris_celebensis",0,0,0.047112462681757,0.00204290091930575
"Harpyionycteris_whiteheadi","Harpyionycteris_whiteheadi",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_beauforti","Dobsonia_beauforti",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_inermis","Dobsonia_inermis",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_praedatrix","Dobsonia_praedatrix",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_viridis","Dobsonia_viridis",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_crenulata","Dobsonia_crenulata",0,0,0.121827411167512,0.00204290091930575
"Dobsonia_minor","Dobsonia_minor",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_peronii","Dobsonia_peronii",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_emersa","Dobsonia_emersa",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_exoleta","Dobsonia_exoleta",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_moluccensis","Dobsonia_moluccensis",1,0,0.047112462681757,0.00204290091930575
"Dobsonia_magna","Dobsonia_magna",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_anderseni","Dobsonia_anderseni",0,0,0.047112462681757,0.00204290091930575
"Dobsonia_pannietensis","Dobsonia_pannietensis",0,0,0.121827411167512,0.00204290091930575
"Styloctenium_wallacei","Styloctenium_wallacei",0,0,0.121827411167512,0.00204290091930575
"Neopteryx_frosti","Neopteryx_frosti",0,0,0.121827411167512,0.00204290091930575
"Pteralopex_acrodonta","Pteralopex_acrodonta",0,0,0.121827411167512,0.00204290091930575
"Pteralopex_anceps","Pteralopex_anceps",0,0,0.121827411167512,0.00204290091930575
"Pteralopex_atrata","Pteralopex_atrata",0,0,0.121827411167512,0.00204290091930575
"Pteralopex_pulchra","Pteralopex_pulchra",0,0,0.047112462681757,0.00204290091930575
"Acerodon_celebensis","Acerodon_celebensis",0,0,0.047112462681757,0.00204290091930575
"Acerodon_humilis","Acerodon_humilis",0,0,0.047112462681757,0.00204290091930575
"Acerodon_jubatus","Acerodon_jubatus",0,0,0.121827411167512,0.00204290091930575
"Acerodon_leucotis","Acerodon_leucotis",0,0,0.047112462681757,0.00204290091930575
"Acerodon_mackloti","Acerodon_mackloti",0,0,0.047112462681757,0.00204290091930575
"Pteropus_speciosus","Pteropus_speciosus",0,0,0.047112462681757,0.00204290091930575
"Pteropus_neohibernicus","Pteropus_neohibernicus",0,0,0.047112462681757,0.00204290091930575
"Pteropus_howensis","Pteropus_howensis",0,0,0.047112462681757,0.00204290091930575
"Pteropus_ornatus","Pteropus_ornatus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_pumilus","Pteropus_pumilus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_melanotus","Pteropus_melanotus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_hypomelanus","Pteropus_hypomelanus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_griseus","Pteropus_griseus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_admiralitatum","Pteropus_admiralitatum",0,0,0.121827411167512,0.00204290091930575
"Pteropus_alecto","Pteropus_alecto",1,0,0.121827411167512,0.00204290091930575
"Pteropus_faunulus","Pteropus_faunulus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_dasymallus","Pteropus_dasymallus",0,0,0.047112462681757,0.00204290091930575
"Pteropus_livingstonii","Pteropus_livingstonii",0,0,0.047112462681757,0.00204290091930575
"Pteropus_melanopogon","Pteropus_melanopogon",0,0,0.121827411167512,0.00204290091930575
"Pteropus_aruensis","Pteropus_aruensis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_keyensis","Pteropus_keyensis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_caniceps","Pteropus_caniceps",0,0,0.121827411167512,0.00204290091930575
"Pteropus_conspicillatus","Pteropus_conspicillatus",0,0,0.047112462681757,0.00204290091930575
"Pteropus_ocularis","Pteropus_ocularis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_anetianus","Pteropus_anetianus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_samoensis","Pteropus_samoensis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_mariannus","Pteropus_mariannus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_pelewensis","Pteropus_pelewensis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_ualanus","Pteropus_ualanus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_yapensis","Pteropus_yapensis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_loochoensis","Pteropus_loochoensis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_tonganus","Pteropus_tonganus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_personatus","Pteropus_personatus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_temminckii","Pteropus_temminckii",0,0,0.121827411167512,0.00204290091930575
"Pteropus_capistratus","Pteropus_capistratus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_macrotis","Pteropus_macrotis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_pohlei","Pteropus_pohlei",0,0,0.121827411167512,0.00204290091930575
"Pteropus_poliocephalus","Pteropus_poliocephalus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_lombocensis","Pteropus_lombocensis",0,0,0.047112462681757,0.00204290091930575
"Pteropus_molossinus","Pteropus_molossinus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_rodricensis","Pteropus_rodricensis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_chrysoproctus","Pteropus_chrysoproctus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_fundatus","Pteropus_fundatus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_rayneri","Pteropus_rayneri",0,0,0.121827411167512,0.00204290091930575
"Pteropus_rennelli","Pteropus_rennelli",0,0,0.121827411167512,0.00204290091930575
"Pteropus_cognatus","Pteropus_cognatus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_giganteus","Pteropus_giganteus",1,0,0.121827411167512,0.00204290091930575
"Pteropus_lylei","Pteropus_lylei",0,0,0.121827411167512,0.00204290091930575
"Pteropus_vampyrus","Pteropus_vampyrus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_intermedius","Pteropus_intermedius",0,0,0.047112462681757,0.00204290091930575
"Pteropus_gilliardorum","Pteropus_gilliardorum",0,0,0.121827411167512,0.00204290091930575
"Pteropus_mahaganus","Pteropus_mahaganus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_scapulatus","Pteropus_scapulatus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_woodfordi","Pteropus_woodfordi",0,0,0.121827411167512,0.00204290091930575
"Pteropus_aldabrensis","Pteropus_aldabrensis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_seychellensis","Pteropus_seychellensis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_niger","Pteropus_niger",0,0,0.121827411167512,0.00204290091930575
"Pteropus_rufus","Pteropus_rufus",1,0,0.121827411167512,0.00204290091930575
"Pteropus_voeltzkowi","Pteropus_voeltzkowi",0,0,0.121827411167512,0.00204290091930575
"Pteropus_insularis","Pteropus_insularis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_leucopterus","Pteropus_leucopterus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_nitendiensis","Pteropus_nitendiensis",0,0,0.121827411167512,0.00204290091930575
"Pteropus_pselaphon","Pteropus_pselaphon",0,0,0.121827411167512,0.00204290091930575
"Pteropus_tuberculatus","Pteropus_tuberculatus",0,0,0.121827411167512,0.00204290091930575
"Pteropus_vetulus","Pteropus_vetulus",0,0,0.047112462681757,0.00204290091930575
"Saccolaimus_peli","Saccolaimus_peli",0,0,0.047112462681757,0.00204290091930575
"Saccolaimus_flaviventris","Saccolaimus_flaviventris",0,0,0.047112462681757,0.00204290091930575
"Saccolaimus_mixtus","Saccolaimus_mixtus",0,0,0.047112462681757,0.00204290091930575
"Saccolaimus_saccolaimus","Saccolaimus_saccolaimus",0,0,0.047112462681757,0.00204290091930575
"Taphozous_hamiltoni","Taphozous_hamiltoni",0,0,0.047112462681757,0.00204290091930575
"Taphozous_nudiventris","Taphozous_nudiventris",0,0,0.047112462681757,0.00204290091930575
"Taphozous_theobaldi","Taphozous_theobaldi",0,0,0.047112462681757,0.00204290091930575
"Taphozous_hilli","Taphozous_hilli",0,0,0.047112462681757,0.00204290091930575
"Taphozous_australis","Taphozous_australis",0,0,0.047112462681757,0.00204290091930575
"Taphozous_georgianus","Taphozous_georgianus",0,0,0.047112462681757,0.00204290091930575
"Taphozous_troughtoni","Taphozous_troughtoni",0,0,0.047112462681757,0.00204290091930575
"Taphozous_kapalgensis","Taphozous_kapalgensis",0,0,0.047112462681757,0.00204290091930575
"Taphozous_hildegardeae","Taphozous_hildegardeae",0,0,0.047112462681757,0.00204290091930575
"Taphozous_longimanus","Taphozous_longimanus",0,0,0.047112462681757,0.00204290091930575
