"","tree","bats"
"609","Cercopithecus_cephus","other"
"610","Cercopithecus_denti","other"
"611","Cercopithecus_diana","other"
"612","Cercopithecus_doggetti","other"
"613","Cercopithecus_dryas","other"
"614","Cercopithecus_erythrogaster","other"
"615","Cercopithecus_erythrotis","other"
"616","Cercopithecus_hamlyni","other"
"617","Cercopithecus_kandti","other"
"618","Cercopithecus_lhoesti","other"
"619","Cercopithecus_lowei","other"
"620","Cercopithecus_mitis","other"
"621","Cercopithecus_mona","other"
"622","Cercopithecus_neglectus","other"
"623","Cercopithecus_nictitans","other"
"624","Cercopithecus_petaurista","other"
"625","Cercopithecus_pogonias","other"
"626","Cercopithecus_preussi","other"
"627","Cercopithecus_roloway","other"
"628","Cercopithecus_sclateri","other"
"629","Cercopithecus_solatus","other"
"630","Cercopithecus_wolfi","other"
"631","Cerdocyon_thous","other"
"632","Cervus_elaphus","other"
"633","Cervus_nippon","other"
"634","Chaerephon_aloysiisabaudiae","bats"
"635","Chaerephon_ansorgei","bats"
"636","Chaerephon_bemmeleni","bats"
"637","Chaerephon_bivittatus","bats"
"638","Chaerephon_bregullae","bats"
"639","Chaerephon_chapini","bats"
"640","Chaerephon_gallagheri","bats"
"641","Chaerephon_jobensis","bats"
"642","Chaerephon_johorensis","bats"
"643","Chaerephon_leucogaster","bats"
"644","Chaerephon_major","bats"
"645","Chaerephon_nigeriae","bats"
"646","Chaerephon_plicatus","bats"
"647","Chaerephon_pumilus","bats"
"648","Chaerephon_russatus","bats"
"649","Chaerephon_shortridgei","bats"
"650","Chaerephon_solomonis","bats"
"651","Chaetocauda_sichuanensis","other"
"652","Chaetodipus_arenarius","other"
"653","Chaetodipus_artus","other"
"654","Chaetodipus_baileyi","other"
"655","Chaetodipus_californicus","other"
"656","Chaetodipus_dalquesti","other"
"657","Chaetodipus_eremicus","other"
"658","Chaetodipus_fallax","other"
"659","Chaetodipus_formosus","other"
"660","Chaetodipus_goldmani","other"
"661","Chaetodipus_hispidus","other"
"662","Chaetodipus_intermedius","other"
"663","Chaetodipus_lineatus","other"
"664","Chaetodipus_nelsoni","other"
"665","Chaetodipus_penicillatus","other"
"666","Chaetodipus_pernix","other"
"667","Chaetodipus_rudinoris","other"
"668","Chaetodipus_spinatus","other"
"669","Chaetomys_subspinosus","other"
"670","Chaetophractus_nationi","other"
"671","Chaetophractus_vellerosus","other"
"672","Chaetophractus_villosus","other"
"673","Chalinolobus_dwyeri","bats"
"674","Chalinolobus_gouldii","bats"
"675","Chalinolobus_morio","bats"
"676","Chalinolobus_neocaledonicus","bats"
"677","Chalinolobus_nigrogriseus","bats"
"678","Chalinolobus_picatus","bats"
"679","Chalinolobus_tuberculatus","bats"
"680","Cheirogaleus_adipicaudatus","other"
"681","Cheirogaleus_crossleyi","other"
"682","Cheirogaleus_major","other"
"683","Cheirogaleus_medius","other"
"684","Cheirogaleus_sibreei","other"
"685","Cheiromeles_parvidens","bats"
"686","Cheiromeles_torquatus","bats"
"687","Chelemys_delfini","other"
"688","Chelemys_macronyx","other"
"689","Chelemys_megalonyx","other"
"690","Chibchanomys_trichotis","other"
"691","Chilomys_instans","other"
"692","Chilonatalus_micropus","bats"
"693","Chilonatalus_tumidifrons","bats"
"694","Chimarrogale_hantu","other"
"695","Chimarrogale_himalayica","other"
"696","Chimarrogale_phaeura","other"
"697","Chimarrogale_platycephalus","other"
"698","Chimarrogale_styani","other"
"699","Chimarrogale_sumatrana","other"
"700","Chinchilla_chinchilla","other"
"701","Chinchilla_lanigera","other"
"702","Chinchillula_sahamae","other"
"703","Chionomys_gud","other"
"704","Chionomys_nivalis","other"
"705","Chionomys_roberti","other"
"706","Chiroderma_doriae","bats"
"707","Chiroderma_improvisum","bats"
"708","Chiroderma_salvini","bats"
"709","Chiroderma_trinitatum","bats"
"710","Chiroderma_villosum","bats"
"711","Chiromyscus_chiropus","other"
"712","Chironax_melanocephalus","bats"
"713","Chironectes_minimus","other"
"714","Chiropodomys_calamianensis","other"
"715","Chiropodomys_gliroides","other"
"716","Chiropodomys_karlkoopmani","other"
"717","Chiropodomys_major","other"
"718","Chiropodomys_muroides","other"
"719","Chiropodomys_pusillus","other"
"720","Chiropotes_albinasus","other"
"721","Chiropotes_chiropotes","other"
"722","Chiropotes_israelita","other"
"723","Chiropotes_satanas","other"
"724","Chiropotes_utahickae","other"
"725","Chiruromys_forbesi","other"
"726","Chiruromys_lamia","other"
"727","Chiruromys_vates","other"
"728","Chlamyphorus_truncatus","other"
"729","Chlorocebus_aethiops","other"
"730","Chlorocebus_cynosuros","other"
"731","Chlorocebus_djamdjamensis","other"
"732","Chlorocebus_pygerythrus","other"
"733","Chlorocebus_sabaeus","other"
"734","Chlorocebus_tantalus","other"
"735","Chlorotalpa_duthieae","other"
"736","Chlorotalpa_sclateri","other"
"737","Chodsigoa_hypsibia","other"
"738","Chodsigoa_lamula","other"
"739","Chodsigoa_parca","other"
"740","Chodsigoa_parva","other"
"741","Chodsigoa_salenskii","other"
"742","Chodsigoa_smithii","other"
"743","Chodsigoa_sodalis","other"
"744","Choeroniscus_godmani","bats"
"745","Choeroniscus_minor","bats"
"746","Choeroniscus_periosus","bats"
"747","Choeronycteris_mexicana","bats"
"748","Choloepus_didactylus","other"
"749","Choloepus_hoffmanni","other"
"750","Chrotogale_owstoni","other"
"751","Chrotomys_gonzalesi","other"
"752","Chrotomys_mindorensis","other"
"753","Chrotomys_silaceus","other"
"754","Chrotomys_whiteheadi","other"
"755","Chrotopterus_auritus","bats"
"756","Chrysochloris_asiatica","other"
"757","Chrysochloris_stuhlmanni","other"
"758","Chrysochloris_visagiei","other"
"759","Chrysocyon_brachyurus","other"
"760","Chrysospalax_trevelyani","other"
"761","Chrysospalax_villosus","other"
"762","Cistugo_lesueuri","bats"
"763","Cistugo_seabrae","bats"
"764","Civettictis_civetta","other"
"765","Cloeotis_percivali","bats"
"766","Clyomys_bishopi","other"
"767","Clyomys_laticeps","other"
"768","Coccymys_albidens","other"
"769","Coccymys_ruemmleri","other"
"770","Coelops_frithii","bats"
"771","Coelops_robinsoni","bats"
